"id","title","trim_id","retail_price","p11d_price"
"5T13CZ-2025-MKSUKA1-GPE7PE7-GPF6PF6-GPGAPGA-GPI4PI4-GPSNPSN-GRBDRBD-GWD3WD3-GWLMWLM-GWWEWWE-GWYGWYG-GW21W21-GYOSYOS-MDAR3S1","Match 1.5 TSI 150PS 7-speed DSG 5 Door","31005-match","41260","40935"
"5T14CZ-2025-GPDAPDA-GPF6PF6-GPGAPGA-GPI3PI3-GPSNPSN-GRBDRBD-GWD3WD3-GW08W08-GYOSYOS-MAUD9WJ","R-Line 1.5 TSI 150PS 7-speed DSG 5 Door","31005-r-line","42285","41550"
"DB556Z-2025-GPG4PG4-GPLAPLA-GRDARDA-GYOSYOS","R-Line 2.0 TDI 150ps 7-Speed DSG 5 Door","30652-r-line","35935","35660"
"DB55EX-2025-GPG4PG4-GPLAPLA-GRDARDA-GYOSYOS","R-Line 1.5 TSI 150ps 6-Speed Manual 5 Door","30652-r-line","32535","32260"
"DB55EM-2025-GPG4PG4-GPLAPLA-GRDARDA-GYOSYOS","R-Line 1.5 eTSI 150ps 7-Speed DSG 5 Door","30652-r-line","34125","33860"
"DB5RPT-2025-GPF2PF2-GPG4PG4-GPK2PK2-GPXDPXD-GRDARDA-GWW1WW1-GYOSYOS","R 2.0 TSI 4Motion 333ps 7-Speed DSG 5 Door","30652-r","45970","44820"
"DB53EM-2025-GPG4PG4-GPLAPLA-GRDARDA-GYOSYOS","Life 1.5 eTSI 150ps 7-Speed DSG 5 Door","30652-life","31915","31650"
"DB53BM-2025-GPG4PG4-GPLAPLA-GRDARDA-GYOSYOS","Life 1.5 eTSI 115ps 7-Speed DSG 5 Door","30652-life","30785","30520"
"DB53BX-2025-GPG4PG4-GPLAPLA-GPU2PU2-GRDARDA-GYOSYOS","Life 1.5 TSI 115ps 6-Speed Manual 5 Door","30652-life","29195","28920"
"DB532X-2025-GPG4PG4-GPLAPLA-GPU2PU2-GRDARDA-GYOSYOS","Life 2.0 TDI 115ps 6-Speed Manual 5 Door","30652-life","30990","30715"
"DB53EX-2025-GPG4PG4-GPLAPLA-GPU2PU2-GRDARDA-GYOSYOS","Life 1.5 TSI 150ps 6-Speed Manual 5 Door","30652-life","30325","30050"
"DB54EX-2025-GPF1PF1-GPG4PG4-GPLDPLD-GRDARDA-GYOSYOS","Style 1.5 TSI 150ps 6-Speed Manual 5 Door","30652-style","31995","31720"
"DB54EM-2025-GPF2PF2-GPG4PG4-GPLDPLD-GRDARDA-GYOSYOS","Style 1.5 eTSI 150ps 7 Speed DSG 5 Door","30652-style","33585","33320"
"DB546Z-2025-GPF2PF2-GPG4PG4-GPLDPLD-GRDARDA-GYOSYOS","Style 2.0 TDI 150ps 7-Speed DSG 5 Door","30652-style","35390","35115"
"CJ53YY-2025-GPE4PE4-GPJBPJB-GRBTRBT-GW15W15-GYOSYOS","Life 1.5 TSI eHybrid 204PS 6-speed DSG","31355-life","44335","44280"
"CJ53DZ-2025-GPE4PE4-GPJBPJB-GRBTRBT-GW15W15-GYOSYOS","Life 1.5 eTSI 150PS 7-speed DSG","31355-life","39610","39345"
"CJ55XY-2025-GW15W15-GW16W16-GYKMYKM-GYOSYOS","R-Line 1.5 TSI eHybrid 272PS 6-speed DSG","31355-r-line","51200","51145"
"CJ55YY-2025-GW15W15-GW16W16-GYKMYKM-GYOSYOS","R-Line 1.5 TSI eHybrid 204PS 6-speed DSG","31355-r-line","48680","48625"
"CJ55DZ-2025-GPDDPDD-GW15W15-GW16W16-GYKMYKM-GYOSYOS","R-Line 1.5 eTSI 150PS 7-speed DSG","31355-r-line","43955","43690"
"CJ55MZ-2025-GPDDPDD-GW15W15-GW16W16-GYKMYKM-GYOSYOS","R-Line 2.0 TSI 204PS 7-speed DSG","31355-r-line","47035","46300"
"CJ54YY-2025-GPGWPGW-GW15W15-GYKMYKM-GYOSYOS-MDEI3FU","Elegance 1.5 TSI eHybrid 204PS 6-speed DSG","31355-elegance","47430","47375"
"CJ54DZ-2025-GPGWPGW-GW15W15-GYKMYKM-GYOSYOS-MDEI3FU","Elegance 1.5 eTSI 150PS 7-speed DSG","31355-elegance","42705","42440"
"CJ54XY-2025-GPGWPGW-GW15W15-GYKMYKM-GYOSYOS-MDEI3FU","Elegance 1.5 TSI eHybrid 272PS 6-speed DSG","31355-elegance","50150","50095"
"BJ250Z-2024-GPDAPDA-GPFCPFC-GPG4PG4-GPJTPJT-GPSFPSF-GRBDRBD-GWN3WN3-GWW1WW1-GYOSYOS-MVTV9IJ","R-Line 2.0 TDI 150PS 7-Speed DSG 5 Door","31160-r-line","45120","44385"
"BJ256T-2024-GPFCPFC-GPG4PG4-GPJTPJT-GPSFPSF-GRBDRBD-GWN3WN3-GWW1WW1-GYOSYOS-MVTV9IJ","R-Line 2.0 TDI 4Motion 193PS 7-Speed DSG 5 Door","31160-r-line","48885","47735"
"BJ25CZ-2024-GPDAPDA-GPFCPFC-GPG4PG4-GPJTPJT-GPSFPSF-GRBDRBD-GWN3WN3-GWW1WW1-GYOSYOS-MVTV9IJ","R-Line 1.5 TSI 150PS 7-Speed DSG 5 Door","31160-r-line","42575","41840"
"BJ25YT-2024-GPFCPFC-GPG4PG4-GPJTPJT-GRBDRBD-GWDDWDD-GWN3WN3-GWW1WW1-GYOSYOS-MVTV9IJ","R-Line 2.0 TSI 4Motion 245PS 7-Speed DSG 5 Door","31160-r-line","49410","47705"
"BJ25UT-2024-GPFCPFC-GPG4PG4-GPJTPJT-GPSFPSF-GRBDRBD-GWN3WN3-GWW1WW1-GYOSYOS-MVTV9IJ","R-Line 2.0 TSI 4Motion 190PS 7-Speed DSG 5 Door","31160-r-line","46180","45030"
"BJ24UT-2024-GPE4PE4-GPFAPFA-GPG4PG4-GPJGPJG-GPS2PS2-GPXCPXC-GRBDRBD-GWN3WN3-GWW1WW1-GYOSYOS-MLRA2FT-MVTV9IJ","Elegance 2.0 TSI 4Motion 190PS 7-Speed DSG 5 Door","31160-elegance","45665","44515"
"BJ24CZ-2024-GPDAPDA-GPE4PE4-GPFAPFA-GPG4PG4-GPJGPJG-GPS2PS2-GPXCPXC-GRBDRBD-GWN3WN3-GWW1WW1-GYOSYOS-MLRA2FT-MVTV9IJ","Elegance 1.5 TSI 150PS 7-Speed DSG 5 Door","31160-elegance","42060","41325"
"BJ240Z-2024-GPDAPDA-GPE4PE4-GPFAPFA-GPG4PG4-GPJGPJG-GPS2PS2-GPXCPXC-GRBDRBD-GWN3WN3-GWW1WW1-GYOSYOS-MLRA2FT-MVTV9IJ","Elegance 2.0 TDI 150PS 7-Speed DSG 5 Door","31160-elegance","44605","43870"
"BJ230Z-2024-GPG4PG4-GPJQPJQ-GRBDRBD-GWN3WN3-GYOSYOS-MVTV9IJ-MAUD9WJ","Life 2.0 TDI 150PS 7-Speed DSG 5 Door","31160-life","41125","40390"
"BJ23CZ-2024-GPG4PG4-GPJQPJQ-GRBDRBD-GWN3WN3-GYOSYOS-MVTV9IJ-MAUD9WJ","Life 1.5 TSI 150PS 7-Speed DSG 5 Door","31160-life","38580","37845"
